,artist_familiarity,artist_hotttnesss,artist_location,artist_name,danceability,duration,energy,key,loudness,mode,release,song_hotttnesss,song_id,tempo,title,track_id,year
0,0.581793765845,0.401997543364,California - LA,Casual,0.0,218.93179,0.0,1,-11.197,0,Fear Itself,0.602119989906,SOMZWCG12A8C13C480,92.198,I Didn't Mean To,TRAAAAW128F429D538,0
1,0.63063003759,0.417499644971,"Memphis, TN",The Box Tops,0.0,148.03546,0.0,6,-9.843,0,Dimensions,,SOCIWDW12A8C13D406,121.274,Soul Deep,TRAAABD128F429CF47,1969
2,0.487356790928,0.343428378297,,Sonora Santanera,0.0,177.47546,0.0,8,-9.689,1,Las Numero 1 De La Sonora Santanera,,SOXVLOJ12AB0189215,100.07,Amor De Cabaret,TRAAADZ128F9348C2E,0
3,0.630382334147,0.454231156571,"London, England",Adam Ant,0.0,233.40363,0.0,0,-9.013,1,Friend Or Foe,,SONHOTT12A8C13493C,119.293,Something Girls,TRAAAEF128F4273421,1982
4,0.651045660832,0.401723685504,,Gob,0.0,209.60608,0.0,2,-4.501,1,Muertos Vivos,0.604500738589,SOFSOCN12A8C143F5D,129.738,Face the Ashes,TRAAAFD128F92F423A,2007
5,0.535292735512,0.385470550556,,Jeff And Sheri Easter,0.0,267.7024,0.0,5,-9.323,1,Ordinary Day,,SOYMRWW12A6D4FAB14,147.782,The Moon And I (Ordinary Day Album Version),TRAAAMO128F1481E7F,0
6,0.556495601913,0.261941177381,Ohio,Rated R,0.0,114.78159,0.0,1,-17.302,1,Da Ghetto Psychic,,SOMJBYD12A6D4F8557,111.787,Keepin It Real (Skit),TRAAAMQ128F1460CD3,0
7,0.801136446997,0.605507135691,"Burlington, Ontario, Canada",Tweeterfriendly Music,0.0,189.57016,0.0,4,-11.642,0,Gin & Phonic,,SOHKNRJ12A6701D1F8,101.43,Drop of Rain,TRAAAPK128E0786D96,0
8,0.426667857069,0.332275746599,,Planet P Project,0.0,269.81832,0.0,4,-13.496,1,Pink World,0.265861049211,SOIAZJW12AB01853F1,86.643,Pink World,TRAAARJ128F9320760,1984
9,0.550513697848,0.422705641029,,Clp,0.0,266.39628,0.0,7,-6.697,0,Superinstrumental,,SOUDSGM12AC9618304,114.041,Insatiable (Instrumental Version),TRAAAVG12903CFA543,0
10,0.360031166464,0.296268954311,North Carolina,JennyAnyKind,0.0,218.77506,0.0,5,-10.021,0,I Need You,0.0,SOQHXMF12AB0182363,146.765,Young Boy Blues,TRAAAVO128F93133D4,0
11,0.545159295601,0.351555861186,"Wisner, LA",Wayne Watson,0.0,245.21098,0.0,7,-7.545,1,The Way Home,0.265861049211,SOKEJEJ12A8C13E0D0,117.975,The Urgency (LP Version),TRAABCL128F4286650,0
12,0.577508974325,0.37948217028,,Andy Andy,0.0,226.35057,0.0,9,-6.632,1,Placer & Castigo,0.0,SOMUYGI12AB0188633,130.04,La Culpa,TRAABDL12903CAABBA,0
13,0.0855120471086,0.251936524762,,Bob Azzam,0.0,191.84281,0.0,10,-7.75,0,Arrivederci,0.0,SORAMLE12AB017C8B0,137.334,Auguri Cha Cha,TRAABJL12903CDCF1A,0
14,0.776675855685,0.553071991462,"Beverly Hills, CA",Lionel Richie,0.0,307.3824,0.0,3,-8.346,1,Dancing On The Ceiling,,SOBONFF12A6D4F84D8,125.197,Tonight Will Be Alright,TRAABJV128F1460C49,1986
15,0.63642364495,0.44793548048,"Toronto, Ontario, Canada",Blue Rodeo,0.0,491.12771,0.0,7,-8.576,1,Outskirts,0.405115721691,SOHUOAP12A8AE488E9,119.826,Floating,TRAABLR128F423B7E3,1987
16,0.419943148435,0.330806356856,United States,Richard Souther,0.0,228.5971,0.0,8,-16.11,1,Cross Currents,0.334706549069,SOUQQEA12A8C134B1B,127.756,High Tide,TRAABNV128F425CEE1,0
17,0.36328057111,0.306676093479,,Faiz Ali Faiz,0.0,599.24853,0.0,6,-8.032,1,Panjtan Ka Ghulam,,SOILPQQ12AB017E82A,99.273,Sohna Nee Sohna Data,TRAABRB128F9306DD5,0
18,0.707199763838,0.513463289702,,Tesla,0.0,290.29832,0.0,7,-5.271,1,Gold,0.684136191229,SOXLBJT12A8C140925,150.062,Caught In A Dream,TRAABVM128F92CA9DC,2004
19,0.320314370171,0.0,,lextrical,0.0,165.69424,0.0,7,-6.787,1,Whatever Happened To Boredom?,0.0,SOZVMJI12AB01808AF,138.331,Synthetic Dream,TRAABXG128F9318EBD,0
20,0.394138539846,0.291539727089,"Mineola, AR",Jimmy Wakely,0.0,151.84934,0.0,1,-15.221,1,1942-1952 Jimmy Wakely,,SOWTBJW12AC468AC6E,86.186,Broken-Down Merry-Go-Round,TRAABYN12903CFD305,0
21,0.489816268982,0.328553015018,Washington,Alice Stuart,0.0,220.78649,0.0,11,-8.514,1,All The Good Times,0.0,SOBEBDG12A58A76D60,110.382,Kassie Jones,TRAABYW128F4244559,0
22,0.677420465226,0.37825468551,Dubai UAE,Elena,0.0,269.58322,0.0,2,-8.05,1,Un cafe_ setanta matins,0.313562114248,SOZCTXZ12AB0182364,111.874,Setanta matins,TRAACCG128F92E8A55,0
23,0.839962768151,0.541888972034,"Morris Plains, NJ",The Dillinger Escape Plan,0.0,207.77751,0.0,7,-4.264,1,Miss Machine,0.66652784623,SOBBUGU12A8C13E95D,166.862,Setting Fire to Sleeping Giants,TRAACER128F4290F96,2004
24,0.435415818155,0.306242264246,"Nevada, MO",SUE THOMPSON,0.0,124.86485,0.0,10,-12.332,1,Sue Thompson - Her Very Best,0.495293621292,SOBLGCN12AB0183212,137.522,James (Hold The Ladder Steady),TRAACFV128F935E50B,1985
25,0.609063700031,0.363651365059,,Five Bolt Main,0.0,225.09669,0.0,7,-5.908,1,Live,0.3759843015,SOPSWQW12A6D4F8781,164.672,Made Like This (Live),TRAACHN128F1489601,0
26,0.550513697848,0.422705641029,,Clp,0.0,338.31138,0.0,6,-6.486,0,Strictly Confidential,,SOZQDIU12A58A7BCF6,125.006,Superconfidential,TRAACIW12903CC0F6D,0
27,0.459797128838,0.349912611675,Georgia,Tim Wilson,0.0,186.48771,0.0,5,-4.516,1,The Real Twang Thang,,SONYPOM12A8C13B2D7,90.022,I Think My Wife Is Running Around On Me (Taco Hell),TRAACLV128F427E123,2005
28,0.588827100502,0.37967112475,"New York, NY [Spanish Harlem]",Willie Bobo,0.0,168.25424,0.0,8,-9.616,1,Willie Bobo's Finest Hour,,SOBZBAZ12A6D4F8742,127.025,Spanish Grease,TRAACNS128F14A2DF5,1997
29,0.396455253917,0.299230367929,"Newark, NJ",Faye Adams,0.0,156.39465,0.0,8,-18.051,1,Shake A Hand,0.0,SOVYKGO12AB0187199,95.957,Crazy Mixed Up World,TRAACOW128F933E35F,1961
30,0.706827671304,0.416173064627,Chicago,Terry Callier,0.0,342.56934,0.0,6,-11.939,1,Occasional Rain,0.41373983586,SOGNCJP12A58A80271,110.189,Do You Finally Need A Friend,TRAACPE128F421C1B9,1972
31,0.560557983904,0.452789476752,Brandon,John Wesley,0.0,484.62322,0.0,4,-15.335,0,The Emperor Falls,0.377531644977,SOLLHMX12AB01846DC,138.007,The Emperor Falls,TRAACQT128F9331780,0
